±â¿Â,½Àµµ,Ç³Çâ,Ç³¼Ó,»êºÒ,¹ß»ýÀÏ½Ã_³â,¹ß»ýÀÏ½Ã_¿ù,¹ß»ýÀÏ½Ã_ÀÏ,°èÀý
4.9,43,360,3.4,0,2018,3,22,º½
10.7,20,160,1.3,0,2019,2,27,°Ü¿ï
-0.5,33,180,1,0,2016,2,4,°Ü¿ï
30.7,27,250,2.3,0,2015,6,3,¿©¸§
35.3,50,70,2.5,0,2018,7,29,¿©¸§
15.8,51,90,3.9,0,2016,4,11,º½
13.1,23,180,1,0,2016,3,18,º½
29,29,250,1.8,0,2018,4,21,º½
20.8,29,230,3.2,0,2017,4,29,º½
9.8,93,0,0.1,0,2013,5,6,º½
9.9,20,160,1.5,0,2011,4,13,º½
12.1,28,360,1.1,0,2015,3,9,º½
15.3,14,290,1.5,0,2017,4,13,º½
9.9,43,250,1.7,0,2017,3,14,º½
16.1,18,230,2.1,0,2017,3,12,º½
-9.8,33,230,3.6,0,2016,1,25,°Ü¿ï
9.4,54,180,2.4,0,2013,3,9,º½
6.2,40,250,3,0,2011,3,9,º½
5.9,92,0,0.4,0,2010,11,22,°¡À»
23.5,32,270,1.5,0,2010,5,10,º½
10.5,34,0,0.4,0,2007,3,1,º½
13.8,79,0,0.1,0,2006,5,22,º½
24.1,29,250,2.4,0,2019,5,2,º½
17.3,41,250,2.5,0,2018,3,14,º½
12,95,270,1.4,0,2017,6,3,¿©¸§
6.5,34,230,1.4,0,2015,3,7,º½
11.8,42,200,4.3,0,2019,3,12,º½
26.4,75,20,0.8,0,2018,8,1,¿©¸§
17.1,41,230,4,0,2017,5,7,º½
-17.6,70,50,0.6,0,2016,1,26,°Ü¿ï
16.6,36,290,1.8,0,2015,3,30,º½
1.6,36,110,0.8,0,2015,2,1,°Ü¿ï
22.8,23,230,4.2,0,2013,5,6,º½
25.4,43,320,1.5,0,2012,6,19,¿©¸§
16.3,61,360,0.5,0,2011,10,13,°¡À»
27.8,38,340,1.6,0,2011,6,15,¿©¸§
16.9,64,250,4.4,0,2011,4,16,º½
11.4,43,270,0.8,0,2011,4,5,º½
8.4,22,230,3.5,0,2010,11,26,°¡À»
11.4,66,230,2.3,0,2010,4,11,º½
26.4,13,200,2.2,0,2009,4,10,º½
12.5,44,230,3.1,0,2009,4,5,º½
14.7,20,200,2.5,0,2009,4,3,º½
21.6,41,70,2.1,0,2008,4,18,º½
11.4,21,230,2,0,2006,11,12,°¡À»
8.6,20,140,1.9,0,2005,11,17,°¡À»
34.7,54,320,1.5,0,2018,8,17,¿©¸§
20.8,27,250,2.1,0,2005,4,26,º½
8.2,25,200,2.6,0,2013,3,27,º½
4.2,20,230,2.5,0,2019,1,27,°Ü¿ï
20.7,43,360,1.1,0,2019,5,7,º½
0.7,37,180,0.7,0,2019,1,20,°Ü¿ï
3.6,55,70,5.1,0,2018,3,22,º½
11.7,26,110,1.5,0,2019,2,27,°Ü¿ï
-2.1,28,250,1.6,0,2016,2,4,°Ü¿ï
