지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
251,2010-12-01,,고창군,전주기상대(146),35.4266,126.697,54,55.5,1.7,10,0.6
251,2008-11-28,2010-11-30,고창,고창기상대(미사용 251),35.4266,126.697,54,55.3,1.8,10,0.7
251,2007-11-01,2008-11-28,고창,고창기상대(미사용 251),35.4251,126.699,54.02,55.32,1.5,10,0.5
252,2007-11-26,,영광군,광주지방기상청(156),35.2837,126.4778,37.2,38.7,1.5,13,0.6
253,2008-02-13,,김해시,부산지방기상청(159),35.2267,128.893,53.34,54.6,1.7,10,0.5
254,2008-07-16,,순창군,전주기상대(146),35.3714,127.1286,127,128.4,1.6,10,0.6
255,2010-07-22,,북창원,창원기상대(155),35.2264,128.6725,48.8,50.3,1.8,10,0.7
255,2008-12-26,2010-07-21,창원시,,35.2264,128.6725,46.77,48.12,1.8,10,0.6
257,2008-12-26,,양산시,울산기상대(152),35.3072,129.02,14.85,16.1,1.8,10,0.6
258,2010-03-11,,보성군,여수기상대(168),34.7633,127.2123,2.8,4.3,1.5,10,0.6
258,2010-02-08,2010-03-10,보성군,여수기상대(168),34.7633,127.2123,2.8,,,,
259,2009-11-10,,강진군,목포기상대(165),34.6261,126.7689,12.5,13.9,1.5,10,0.6
260,1972-01-21,,장흥,목포기상대(165),34.6888,126.9195,45.02,46.3,1.5,10,0.8
261,1971-02-03,,해남,목포기상대(165),34.5538,126.5691,16.36,17.91,1.5,10,0.8
262,2017-08-25,,고흥,여수기상대(168),34.6183,127.2757,51.91,53.31,1.5,10,0.8
262,1972-01-22,2017-08-25,고흥,여수기상대(168),34.6182,127.2757,53.12,54.6,1.5,10,0.6
263,2010-06-21,,의령군,창원기상대(155),35.3226,128.2881,14.18,14.9,2,10,0.6
264,2010-06-21,,함양군,창원기상대(155),35.5114,127.7454,151.2,152.5,1.8,10,0.6
266,2017-08-25,,광양시,광주지방기상청(156),34.9434,127.6914,86.7,87.9,1.7,10,0.6
266,2011-01-01,2017-08-25,광양시,광주지방기상청(156),34.943,127.691,80.9,82.4,1.7,10,0.6
268,2014-05-09,,진도군,목포기상대(165),34.4731,126.2585,5.4,6.9,1.7,10,0.6
271,1988-01-01,,봉화,대구(구 143),36.9436,128.9145,324.67,326.22,1.9,10,0.6
272,1972-11-28,,영주,안동기상대(136),36.8718,128.5169,211.32,212.78,1.91,10,0.58
273,1973-01-01,,문경,대구(구 143),36.6273,128.1488,173.01,174.51,1.8,10,0.6
276,2010-09-01,,청송군,안동기상대(136),36.4351,129.0401,208.65,210.2,1.75,10,0.5
277,1972-01-03,,영덕,포항기상대(138),36.5334,129.4093,40.71,42.01,1.7,10,0.6
278,1973-01-01,,의성,대구(구 143),36.3561,128.6886,81.44,82.94,1.7,10,0.6
279,1973-01-01,,구미,대구(구 143),36.1306,128.3206,49.17,50.67,1.7,10,1.4
281,1972-01-21,,영천,대구(구 143),35.9774,128.9514,96.12,97.62,1.7,10,0.5
283,2010-08-06,,경주시,포항기상대(138),35.8174,129.2009,40.13,41.63,1.67,10,0.59
284,2011-03-04,,거창,울산기상대(152),35.6674,127.909,225.95,227.3,1.5,10,1.3
284,1972-01-24,2011-03-04,거창,거창기상대(284),35.6712,127.911,221.4,222.6,1.5,10,0.5
285,1973-01-01,,합천,울산기상대(152),35.565,128.1699,32,33.2,1.5,10,0.5
288,1973-01-01,,밀양,울산기상대(152),35.4915,128.7441,11.21,12.5,2,10,1.3
289,1972-03-30,,산청,창원기상대(155),35.413,127.8791,138.07,138.8,1.6,10,0.6
294,1972-01-24,,거제,부산지방기상청(159),34.8882,128.6045,45.4,46.7,1.7,10,0.6
295,1972-01-24,,남해,부산지방기상청(159),34.8166,127.9264,45.71,47.01,1.8,10,0.8
