2015,3,23,13:11,2015,3,24,18:00
2009,4,10,13:45,2009,4,10,17:50
2012,4,19,14:16,2012,4,19,23:00
2015,3,22,16:04,2015,3,22,21:40
2015,3,25,18:49,2015,3,26,17:00
2015,4,28,13:58,2015,4,28,20:00
2016,4,2,14:20,2016,4,2,18:00
2009,4,10,13:00,2009,4,10,14:50
2014,4,24,10:50,2014,4,24,20:30
2015,6,4,6:57,2015,6,4,10:26
2003,4,7,13:15,2003,4,7,16:10
2009,4,6,12:00,2009,4,6,12:30
2019,5,7,15:40,2019,5,7,18:30
2017,5,3,11:17,2017,5,3,17:00
2018,6,24,16:42,2018,6,24,20:00
2015,5,21,15:40,2015,5,21,21:00
2008,4,15,15:35,2008,4,15,17:07
2006,11,5,16:20,2006,11,5,20:35
2016,4,6,19:40,2016,4,6,21:50
2015,3,14,14:53,2015,3,14,16:48
2019,3,4,12:40,2019,3,4,18:00
2017,3,30,15:21,2017,3,30,17:30
2017,11,16,15:08,2017,11,16,16:13
2017,3,14,15:11,2017,3,14,18:20
2015,6,11,12:54,2015,6,11,20:00
2017,5,6,14:24,2017,5,6,16:30
2017,5,2,14:54,2017,5,2,20:00
2016,2,1,17:49,2016,2,1,19:30
2011,2,11,17:50,2011,2,11,20:20
2009,3,20,14:25,2009,3,20,15:10
2009,1,15,12:10,2009,1,15,13:25
2005,12,29,15:53,2005,12,29,17:15
2005,6,5,13:59,2005,6,5,16:30
2005,3,14,13:45,2005,3,14,15:00
2017,6,19,21:14,2017,6,20,0:00
2017,4,26,15:20,2017,4,26,21:00
2017,3,10,21:30,2017,3,11,0:00
2017,2,28,10:53,2017,2,28,11:52
2015,5,31,19:21,2015,6,1,12:00
2015,5,17,17:10,2015,5,17,20:00
2015,3,24,16:32,2015,3,24,19:00
2014,4,22,14:46,2014,4,22,17:10
2014,4,20,13:41,2014,4,20,15:13
2014,3,27,17:29,2014,3,27,18:37
2014,3,24,16:27,2014,3,24,17:10
2014,3,7,15:10,2014,3,7,16:45
2011,3,18,12:00,2011,3,18,12:50
2010,4,4,11:11,2010,4,4,12:05
2009,5,9,10:20,2009,5,9,11:40
2007,2,5,8:50,2007,2,5,10:50
2005,5,29,17:20,2005,5,29,17:50
2004,10,28,15:10,2004,10,28,17:10
2004,10,12,16:45,2004,10,12,18:20
2018,6,24,17:30,2018,6,24,20:00
2006,10,7,12:04,2006,10,7,12:40
2017,4,28,14:00,2017,4,28,20:00
2016,6,10,12:55,2016,6,10,14:35
2016,3,17,12:30,2016,3,17,13:50
2015,11,1,16:40,2015,11,1,18:05
2015,6,22,14:40,2015,6,22,17:30
2015,3,25,13:21,2015,3,25,15:27
2015,3,20,14:43,2015,3,20,16:00
2014,5,4,18:42,2014,5,4,21:17
2014,4,13,14:20,2014,4,13,16:10
2013,5,4,12:33,2013,5,4,13:30
2013,4,19,11:09,2013,4,19,11:50
2013,4,18,18:40,2013,4,19,7:30
2013,3,27,16:02,2013,3,27,18:40
2012,5,30,8:00,2012,5,30,14:05
2012,5,30,5:30,2012,5,30,17:30
2012,5,28,17:19,2012,5,28,20:10
2011,12,28,3:20,2011,12,28,8:30
2010,10,24,18:38,2010,10,24,23:00
2010,6,10,11:49,2010,6,10,13:20
2010,4,8,12:45,2010,4,8,13:50
2009,10,29,17:00,2009,10,29,18:29
2009,9,17,12:20,2009,9,17,13:35
2009,4,13,15:00,2009,4,13,15:30
2009,1,13,16:55,2009,1,13,17:30
2008,4,20,15:05,2008,4,20,15:50
2008,4,19,21:35,2008,4,19,22:35
2008,3,21,13:20,2008,3,21,13:45
2008,2,22,14:20,2008,2,22,14:40
2005,4,22,12:45,2005,4,22,13:20
2005,2,11,13:58,2005,2,11,14:38
