발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2005,12,11,1:00,일,2005,12,11,7:56,경북,경북,안동,임동,마령,산158,기,버섯재배사화재로인화,,0.3,128.961789,36.5937722,경상북도 안동시 임동면 마령리 산158
2004,6,12,21:10,토,2004,6,12,22:50,경북,경북,안동,남선,현내,산38,기,낚시꾼실화추정,,0.3,128.724184,36.5314448,경상북도 안동시 남선면 현내리 산38
2004,4,10,14:03,토,2004,4,10,15:25,경북,경북,안동,예안,부포,산65-1,입,입산자실화추정,,0.3,128.867893,36.7097961,경상북도 안동시 예안면 부포리 산65-1
2003,4,1,15:05,화,2003,4,1,15:40,경북,경북,안동,풍산,수곡,산40,입,입산자실화추정,,0.3,128.643579,36.5850134,경상북도 안동시 풍산읍 수곡리 산40
2003,1,11,15:40,토,2003,1,11,16:47,경북,경북,안동,임동,마령,산170,입,입산자실화추정,,0.3,128.949909,36.5843356,경상북도 안동시 임동면 마령리 산170
2018,2,15,15:07,목,2018,2,15,17:10,경북,경북,안동,서후,이송천,산21,기,기타(직접입력),원인미상(조사중),0.2,128.697644,36.62027,경상북도 안동시 서후면 이송천리 산21
2017,6,17,19:15,토,2017,6,17,21:40,남부,경북,안동,일직,용각,산103,기,기타(직접입력),조사중,0.2,,,
2016,3,27,12:17,일,2016,3,27,13:55,경북,경북,안동,임동,사월,884,기,낚시꾼실화,,0.2,128.896845,36.5945168,경상북도 안동시 임동면 사월리 884
2015,3,21,14:30,토,2015,3,21,16:00,경북,경북,안동,도산 ,선양,산141,논,농산폐기물 소각,,0.2,128.783821,36.7040302,경상북도 안동시 도산면 선양리 산141
2014,5,27,12:35,화,2014,5,27,14:20,경북,경북,안동,임동,마령,산158,쓰,쓰레기소각,,0.2,128.961789,36.5937722,경상북도 안동시 임동면 마령리 산158
2014,4,14,17:25,월,2014,4,14,18:40,경북,경북,안동,와룡,가류,산144,입,입산자 실화추정,,0.2,128.830157,36.6199041,경상북도 안동시 와룡면 가류리 산144
2014,4,8,15:30,화,2014,4,8,16:15,경북,경북,안동,북후,옹천리,임638-2,건,주택화재비화,,0.2,,,
2014,3,23,17:00,일,2014,3,23,17:50,경북,경북,안동,와룡,이상,산130-1,기,비닐하우스 가스폭발,,0.2,128.738261,36.6191621,경상북도 안동시 와룡면 이상리 산130-1
2014,1,15,15:00,수,2014,1,15,16:00,경북,경북,안동,길안,금곡,산151,쓰,쓰레기 소각,,0.2,128.913307,36.380436,경상북도 안동시 길안면 금곡리 산151
2012,4,7,14:18,토,2012,4,7,16:00,경북,경북,안동,풍천,신성,산124,담,담뱃불실화,,0.2,128.450068,36.5121222,경상북도 안동시 풍천면 신성리 산124
2011,2,24,11:50,목,2011,2,24,12:40,경북,경북,안동,도산,태자,산278,논,농산폐기물소각,,0.2,128.834554,36.8070527,경상북도 안동시 도산면 태자리 산278
2006,10,5,16:10,공,2006,10,5,17:26,경북,경북,안동,임동,수곡,,입,입산자실화,,0.2,,,
2006,3,12,23:37,일,2006,3,13,1:19,경북,경북,안동,남선,현내,산180,입,입산자실화,,0.2,128.740716,36.5079042,경상북도 안동시 남선면 현내리 산180
2005,4,14,10:20,목,2005,4,14,11:30,경북,경북,안동,풍산,마애,산14-2,논,논밭두렁소각,,0.2,128.588009,36.5616724,경상북도 안동시 풍산읍 마애리 산14-2
2005,3,15,14:10,화,2005,3,15,14:40,경북,경북,안동,풍산,만운,산86,쓰,쓰레기소각,,0.2,128.565371,36.6093934,경상북도 안동시 풍산읍 만운리 산86
2004,6,14,10:30,월,2004,6,14,11:15,경북,경북,안동,길안,묵계,산70-1,논,밭두렁소각,,0.2,128.925895,36.4173376,경상북도 안동시 길안면 묵계리 산70-1
2004,3,21,13:59,일,2004,3,21,14:40,경북,경북,안동,예안,계곡,산140,쓰,쓰레기소각,,0.2,128.899039,36.6398107,경상북도 안동시 예안면 계곡리 산140
