발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2017,4,26,15:26,수,2017,4,26,17:30,경기,경기,화성,남양,시,639-3(임),쓰,쓰레기소각,,0.15,,,
2017,4,23,16:40,일,2017,4,23,19:00,경기,경기,화성,서신,홍법,산83,쓰,쓰레기소각,,0.15,126.725779,37.1681391,경기도 화성시 서신면 홍법리 산83
2005,3,6,14:30,일,2005,3,6,15:30,경기,경기,화성,정,멱우,산92-3,쓰,쓰레기소각,,0.15,126.81283,37.0932336,경기도 화성시 우정읍 멱우리 산92-3
2005,2,10,15:25,공,2005,2,10,16:55,경기,경기,화성,서신,백미,산81-1,입,입산자실화추정,,0.15,126.691197,37.1334532,경기도 화성시 서신면 백미리 산81-1
2003,3,15,11:35,토,2003,3,15,11:45,경기,경기,화성,북양,,산19-1,논,농산부산물소각,,0.15,126.842557,37.2286601,경기도 화성시 남양읍 북양리 산19-1
2017,5,6,16:09,토,2017,5,6,17:12,경기,경기,화성,서신,백미,산89임,쓰,쓰레기소각,,0.13,,,
2004,4,16,4:00,금,2004,4,16,6:44,경기,경기,화성,봉담,덕우,산49-1,입,입산자실화추정,,0.13,126.91583,37.1620763,경기도 화성시 봉담읍 덕우리 산49-1
2003,4,14,14:10,월,2003,4,14,16:00,경기,경기,화성,서신,전곡,산193,논,논밭두렁소각,,0.13,126.684923,37.1914732,경기도 화성시 서신면 전곡리 산193
2015,6,23,14:45,화,2015,6,23,16:40,경기,경기,화성,서신,전곡,194,논,농산폐기물 소각,,0.12,126.684923,37.1914732,경기도 화성시 서신면 전곡리 산194
2017,4,30,12:59,일,2017,4,30,14:20,경기,경기,화성,서신,용두,660-1,쓰,쓰레기소각,,0.1,126.7131,37.1625404,경기도 화성시 서신면 용두리 660-1
2017,4,12,14:36,수,2017,4,12,16:11,경기,경기,화성,매송,어천,산67-14,쓰,쓰레기소각,,0.1,126.917731,37.2663645,경기도 화성시 매송면 어천리 산67-14
2017,4,4,13:35,화,2017,4,4,17:00,북부,경기,화성,남양,안석,산118-1,쓰,쓰레기소각,,0.1,,,
2016,3,28,14:11,월,2016,3,28,18:00,경기,경기,화성,마도,백곡,산7,논,논밭두렁소각,,0.1,126.73643,37.1940504,경기도 화성시 마도면 백곡리 산7
2016,3,23,13:14,수,2016,3,23,14:20,경기,경기,화성,정남,관항,산38-1,논,농산폐기물소각,,0.1,126.957564,37.1828683,경기도 화성시 정남면 관항리 산38-1
2014,4,8,17:30,화,2014,4,8,18:50,경기,경기,화성,팔탄,지월,434-1,입,등산객실화,,0.1,126.89923,37.1492051,경기도 화성시 팔탄면 지월리 434-1
2012,6,27,2:57,수,2012,6,27,11:30,경기,경기,화성,비봉,청요리,산127,기,원인미상,,0.1,126.895676,37.2040579,경기도 화성시 비봉면 청요리 산127
2004,3,26,14:35,금,2004,3,26,14:50,경기,경기,화성,장안,석포,산109-1,논,논밭두렁소각,,0.1,126.832152,37.1343961,경기도 화성시 장안면 석포리 산109-1
2003,4,2,14:10,수,2003,4,2,14:30,경기,경기,화성,매송,숙곡,산25,논,밭두렁소각,,0.1,126.906991,37.262554,경기도 화성시 매송면 숙곡리 산25
2003,4,2,14:00,수,2003,4,2,14:20,경기,경기,화성,향남,상신,산293-1,논,밭두렁소각,,0.1,126.895697,37.099824,경기도 화성시 향남읍 상신리 산293-1
