발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2013,3,9,15:38,토,2013,3,10,8:30,경북,경상북도,포항시,북구,용흥리,산122,어,어린이불장난,,79,129.34588,36.0427383,경상북도 포항시 북구 용흥동 산122
2018,2,11,21:27,일,2018,2,13,21:00,강원,강원도,삼척시,도계리,황조리,산106외34필,기,기타(직접입력),원인미상,76.46,129.085209,37.2082428,강원도 삼척시 도계읍 황조리 산106 외34필
2004,2,17,17:44,화,2004,2,18,1:00,경남,경상남도,김해시,삼계리,,산25,입,입산자실화,,73,128.87794,35.2657586,경상남도 김해시 삼계동 산25
2010,12,3,11:43,금,2010,12,4,8:50,강원,강원도,삼척시,미로면,상사전리,산1외 63필,건,주택화재(전기누전),,68,129.068156,37.3989412,강원도 삼척시 미로면 상사전리 산1 외 63필
2004,4,17,13:15,토,2004,4,18,1:30,경북,경상북도,봉화군,석포리,석포리,산35-1,기,열차스파크,,68,129.057981,37.0376562,경상북도 봉화군 석포면 석포리 산35-1
2015,3,22,14:01,일,2015,3,23,10:30,강원,강원도,화천군,간동면,도송리,산51,쓰,쓰레기 소각,,67.3,127.799389,38.0711562,강원도 화천군 간동면 도송리 산51
2016,4,2,19:42,토,2016,4,3,7:20,경북,경상북도,예천군,용문동,상금곡리,산16-3,논,논밭두렁소각,,66.5,128.415375,36.700616,경상북도 예천군 용문면 상금곡리 산16-3
2009,4,6,14:30,월,2009,4,7,7:15,경북,경상북도,안동시,임하리,금소리,산65외15필,기,산림연접지역 인화물질(촛불)실화,,66,128.860502,36.5057186,경상북도 안동시 임하면 금소리 산65 외15필
2018,1,1,21:46,월,2018,1,2,19:00,부산,부산광역시,기장군,장안동,기룡리,산145,기,기타(직접입력),풍등,65,129.224287,35.3604795,부산광역시 기장군 장안읍 기룡리 산145    
2019,4,2,15:18,화,2019,4,5,18:00,부산,부산광역시,해운대구,반송동,,산133,쓰,쓰레기소각,,56.9,129.141961,35.2410898,부산광역시 해운대구 반송동 산133
2016,4,5,15:08,화,2016,4,6,10:00,중부,충청북도,충주시,수안보면,고운동,산1외 1,쓰,쓰레기소각,,53.8,128.016678,36.8739319,충청북도 충주시 수안보면 고운리 산1 외 1
2015,2,8,13:31,일,2015,2,11,10:00,강원,강원도,삼척시,가곡리,오목리,산17,기,화목보일러 불똥,,52,129.172433,37.1733614,강원도 삼척시 가곡면 오목리 산17
2015,3,22,12:50,일,2015,3,22,18:30,경기,경기도,여주시,북내동,중암리,산98-1,쓰,쓰레기 소각,,50.7,127.728676,37.3517923,경기도 여주시 북내면 중암리 산98-1
2004,4,9,11:45,금,2004,4,9,17:00,경북,경상북도,포항시,청하면,신흥동,산63,기,용접작업실화,,49,129.377285,36.1580481,경상북도 포항시 북구 청하면 신흥리 산63
2010,11,23,14:34,화,2010,11,24,17:00,인천,인천광역시,옹진군,연평면,연평면,산9-1,기,북한폭격에의한산불,,47,125.703472,37.6659483,인천광역시 옹진군 연평면 연평리 산9-1
2004,4,9,15:57,금,2004,4,10,7:30,강원,강원도,강릉시,왕산리,왕산리,산89,담,담뱃불실화,,46,128.794855,37.6492547,강원도 강릉시 왕산면 왕산리 산89
2009,4,10,12:38,금,2009,4,11,10:15,경북,경상북도,경주시,,노산리,산57외10필,담,담뱃불실화추정,,45,129.249747,35.8444373,경상북도 경주시 동천동 산57 외10필
2004,4,11,13:33,일,2004,4,11,17:30,강원,강원도,인제군,기린면,현리,산217-1,쓰,쓰레기소각,,43.2,128.325443,37.9650056,강원도 인제군 기린면 현리 산217-1
2005,4,28,15:45,목,2005,4,29,18:30,경북,경상북도,영덕군,지품면,복곡리,산11,담,담뱃불실화추정,,42,129.206344,36.4750313,경상북도 영덕군 지품면 복곡리 산11
2009,1,1,13:28,공,2009,1,1,17:30,경북,경상북도,고령군,쌍림동,신곡동,산25,기,방화,,39.5,128.2539,35.6733478,경상북도 고령군 쌍림면 신곡리 산25
2015,3,23,13:11,월,2015,3,24,18:00,강원,강원도,홍천군,화촌면,군업리,산269,입,입산자실화 추정,,37.1,128.006162,37.7489117,강원도 홍천군 화촌면 군업리 산269
2007,4,29,23:10,일,2007,4,30,19:00,경북,경상북도,울진군,원남동,갈면리,산127,입,입산자실화,,37,129.360953,36.8665346,경상북도 울진군 매화면 갈면리 산127
2009,4,11,17:40,토,2009,4,12,8:00,전북,전라북도,남원시,이백리,내동리,산65-3,기,콘테이너용접중실화,,35,127.433337,35.4388139,전라북도 남원시 이백면 내동리 산65-3
