순번,입력타입,입력주소,정제결과,전환결과,우편번호,X-좌표,Y-좌표,사용자필드
131,지번,"충북	진천	초평	진암	산37-1",충청북도 진천군 초평면 진암리 산37-1,,27861,127.517924,36.7829191,
132,지번,"충북	충주	소태	주치	산51-1",충청북도 충주시 소태면 주치리 산51-1,,27305,127.860993,37.1441046,
133,지번,"경기	파주	적성	설마	산21-2",경기도 파주시 적성면 설마리 산21-2,,10805,126.961501,37.9360986,
134,지번,"경북	영천	고경	상덕	산7-1",경상북도 영천시 고경면 상덕리 산7-1,,38901,129.076385,36.0176579,
135,지번,"전남	영광	염산	송암	산7",전라남도 영광군 염산면 송암리 산7,,57067,126.340958,35.2322545,
136,지번,"충남	금산	제원	대산	산1-1",충청남도 금산군 제원면 대산리 산1-1,,32720,127.560567,36.1359016,
137,지번,"전남	곡성	겸	괴정	산200-1",전라남도 곡성군 겸면 괴정리 산200-1,,57515,127.206537,35.2545596,
138,지번,"경남	거제	장목 	농소	산77",경상남도 거제시 장목면 농소리 산77,,53200,128.705777,35.0247432,
139,지번,"경남	거창	가조	동례	산275-2",경상남도 거창군 가조면 동례리 산275-2,,50120,127.982357,35.7107441,
140,지번,"전북	남원	산동	대상	산38-5",전라북도 남원시 산동면 대상리 산38-5,"전라북도 남원시 산동면 대기대상길 324-76, (대상리)",55708,127.485045,35.5253676,
141,지번,"경북	상주	공성	영오	산80",경상북도 상주시 공성면 영오리 산80,,37269,128.047375,36.2550703,
142,지번,"충북	괴산	청천	신월	산4-1",충청북도 괴산군 청천면 신월리 산4-1,,28064,127.784029,36.6452473,
143,지번,"대전	유성	세		산32",대전광역시 유성구 세동 산32,,34204,127.272098,36.3067576,
144,지번,"경북	영덕	영해	사진	산70임",경상북도 영덕군 영해면 사진리 산70,,36417,129.438506,36.5296585,
145,지번,"충남	금산	남일	신정	산139",충청남도 금산군 남일면 신정리 산139,,32760,127.529084,36.0032518,
146,지번,"충북	보은	외속리	서원	산6-1",충청북도 보은군 장안면 서원리 산6-1,,28912,127.829665,36.488379,
147,지번,"강원	삼척	가곡	오목	산17",강원도 삼척시 가곡면 오목리 산17,,25954,129.172433,37.1733614,
148,지번,"강원	양구	방산	장평	산1",강원도 양구군 방산면 장평리 산1,,24502,127.941299,38.2255614,
149,지번,"강원	인제	남	소치	산21",강원도 인제군 남면 소치리 산21,"강원도 인제군 남면 부평정자로 650, (소치리)",24646,128.130035,37.9624755,
150,지번,"경북	영천	화남	죽곡	산167",경상북도 영천시 화남면 죽곡리 산167,,38811,128.952287,36.0622626,
151,지번,"경기	가평	북	화악	산51",경기도 가평군 북면 화악리 산51,,12402,127.580032,37.9386826,
152,지번,"경남	산청	시천	신천	산40,70",경상남도 산청군 시천면 신천리 산40,,52238,127.791538,35.2555791,
153,지번,"경기	포천	이동	도평	산376-1",경기도 포천시 이동면 도평리 산376-1,,11110,127.38538,38.0908329,
154,지번,"전남	장성	진원	진원	산65",전라남도 장성군 진원면 진원리 산65,,57245,126.841702,35.2818753,
155,지번,"충남	공주	우성	한천	산31",충청남도 공주시 우성면 한천리 산31,,32527,127.075184,36.5345673,
